,,,,,,estimated_new_units,estimated_new_units,new_price,new_price,new_revenue,new_revenue,revenue_change_pct,revenue_change_pct,unit_change_pct,unit_change_pct
scenario,,,,,,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase
ppId,name,brand,search_term,currentMin,baseline_units,,,,,,,,,,
pp5002780493,Madison Park Vivian 7-pc. Comforter Set,madison park,comforter sets,144.99,267.0,342.0,230.0,115.99200000000002,159.48900000000003,39669.264,36682.47000000001,2.4719101123595535,-5.243445692883878,27.999999999999996,-13.999999999999998
pp5006151689,Gunne Sax by Jessica McClintock Mesh Flap Evening Bag,gunne sax by jessica mcclintock,handbags,37.5,205.0,266.0,174.0,30.0,41.25,7980.0,7177.5,3.8048780487804876,-6.634146341463415,30.000000000000004,-15.000000000000002
pp5006210632,Multi-Gemstone and Diamond-Accent Hoop Earrings,more brands,diamond earrings,87.49,128.0,154.0,115.0,69.992,96.239,10778.768,11067.485,-3.7499999999999942,-1.1718749999999891,20.0,-10.0
ppr5007119166,"GreenPan Mini Ceramic Non-Stick 5"" Round Eggpan",greenpan,cookware,24.99,161.0,200.0,142.0,19.992,27.489,3998.4,3903.438,-0.6211180124223549,-2.9813664596273237,24.0,-12.0
ppr5007312935,Better Chef 2-qt. Aluminum Dutch Oven,more brands,cookware,20.99,170.0,211.0,150.0,16.791999999999998,23.089,3543.1119999999996,3463.35,-0.7058823529411794,-2.94117647058823,24.0,-12.0
ppr5007341767,BergHOFF Neo Cast Iron Set 3pc,berghoff,cookware,179.99,142.0,176.0,125.0,143.99200000000002,197.98900000000003,25342.592000000004,24748.625000000004,-0.8450704225352016,-3.1690140845070345,24.0,-12.0
ppr5007565792,Woolrich Winter Plains Cotton 5-pc. Daybed Cover Set,woolrich,comforter sets,216.99,153.0,196.0,132.0,173.592,238.68900000000002,34024.032,31506.948000000004,2.4836601307189485,-5.098039215686266,27.999999999999996,-13.999999999999998
ppr5007655564,Disney Cars 3 4-pc. Toddler Bedding Set,disney licensed,comforter sets,75.0,94.0,120.0,81.0,60.0,82.5,7200.0,6682.5,2.127659574468085,-5.212765957446808,27.999999999999996,-13.999999999999998
